PCT,TYPE PTY,VRC,NAME,ADDRESS,DOB,VOTED,MAILED,RCV'D,STYLE
351,80,80,80,80,80,80,0,0,80
352,160,160,160,160,160,160,0,0,160
354,174,174,174,174,174,174,0,0,174
356,75,75,75,75,75,75,0,0,75
357,27,27,27,27,27,27,0,0,27
358,234,234,234,234,234,234,0,0,234
359,249,249,249,249,249,249,0,0,249
360,216,216,216,216,216,216,0,0,216
361,42,42,42,42,42,42,0,0,42
362,134,134,134,134,134,134,0,0,134
363,80,80,80,80,80,80,0,0,80
364,181,181,181,181,181,181,0,0,181
365,111,111,111,111,111,111,0,0,111
366,247,247,247,247,247,247,0,0,247
367,398,398,398,398,398,398,0,0,398
368,26,26,26,26,26,26,0,0,26
369,296,296,296,296,296,296,0,0,296
370,35,35,35,35,35,35,0,0,35
371,96,96,96,96,96,96,0,0,96
372,76,76,76,76,76,76,0,0,76
373,213,213,213,213,213,213,0,0,213
374,272,272,272,272,272,272,0,0,272
375,20,20,20,20,20,20,0,0,20
401,82,82,82,82,82,82,0,0,82
402,120,120,120,120,120,120,0,0,120
403,59,59,59,59,59,59,0,0,59
404,261,261,261,261,261,261,0,0,261
405,51,51,51,51,51,51,0,0,51
406,149,149,149,149,149,149,0,0,149
407,91,91,91,91,91,91,0,0,91
408,205,205,205,205,205,205,0,0,205
409,97,97,97,97,97,97,0,0,97
410,117,117,117,117,117,117,0,0,117
411,146,146,146,146,146,146,0,0,146
412,2,2,2,2,2,2,0,0,2
413,70,70,70,70,70,70,0,0,70
414,197,197,197,197,197,197,0,0,197
415,57,57,57,57,57,57,0,0,57
416,32,32,32,32,32,32,0,0,32
417,101,101,101,101,101,101,0,0,101
419,21,21,21,21,21,21,0,0,21
420,80,80,80,80,80,80,0,0,80
421,70,70,70,70,70,70,0,0,70
422,76,76,76,76,76,76,0,0,76
423,126,126,126,126,126,126,0,0,126
424,114,114,114,114,114,114,0,0,114
425,21,21,21,21,21,21,0,0,21
426,89,89,89,89,89,89,0,0,89
427,82,82,82,82,82,82,0,0,82
428,48,48,48,48,48,48,0,0,48
429,181,181,181,181,181,181,0,0,181
430,56,56,56,56,56,56,0,0,56
431,181,181,181,181,181,181,0,0,181
433,72,72,72,72,72,72,0,0,72
435,260,260,260,260,260,260,0,0,260
436,4,4,4,4,4,4,0,0,4
437,86,86,86,86,86,86,0,0,86
438,60,60,60,60,60,60,0,0,60
439,98,98,98,98,98,98,0,0,98
440,35,35,35,35,35,35,0,0,35
441,143,143,143,143,143,143,0,0,143
442,66,66,66,66,66,66,0,0,66
443,91,91,91,91,91,91,0,0,91
444,6,6,6,6,6,6,0,0,6
446,31,31,31,31,31,31,0,0,31
447,158,158,158,158,158,158,0,0,158
448,112,112,112,112,112,112,0,0,112
450,204,204,204,204,204,204,0,0,204
451,104,104,104,104,104,104,0,0,104
452,66,66,66,66,66,66,0,0,66
454,65,65,65,65,65,65,0,0,65
458,132,132,132,132,132,132,0,0,132
460,115,115,115,115,115,115,0,0,115
461,173,173,173,173,173,173,0,0,173
463,186,186,186,186,186,186,0,0,186
