PCT,TYPE PTY,VRC,NAME,ADDRESS,DOB        VOTED,MAILED,RCV'D,STYLE
405,4,4,4,4,4,4,4,4
406,24,24,24,24,24,24,24,24
408,6,6,6,6,6,6,6,6
409,39,39,39,39,39,39,39,39
410,74,74,74,74,74,74,74,74
411,10,10,10,10,10,10,10,10
414,14,14,14,14,14,14,14,14
415,2,2,2,2,2,2,2,2
417,2,2,2,2,2,2,2,2
419,24,24,24,24,24,24,24,24
420,6,6,6,6,6,6,6,6
421,6,6,6,6,6,6,6,6
422,7,7,7,7,7,7,7,7
423,4,4,4,4,4,4,4,4
424,50,50,50,50,50,50,50,50
425,38,38,38,38,38,38,38,38
426,3,3,3,3,3,3,3,3
427,3,3,3,3,3,3,3,3
428,2,2,2,2,2,2,2,2
429,1,1,1,1,1,1,1,1
430,20,20,20,20,20,20,20,20
431,4,4,4,4,4,4,4,4
433,7,7,7,7,7,7,7,7
435,21,21,21,21,21,21,21,21
437,45,45,45,45,45,45,45,45
438,3,3,3,3,3,3,3,3
439,7,7,7,7,7,7,7,7
440,1,1,1,1,1,1,1,1
441,68,68,68,68,68,68,68,68
442,3,3,3,3,3,3,3,3
443,2,2,2,2,2,2,2,2
446,49,49,49,49,49,49,49,49
447,143,143,143,143,143,143,143,143
448,6,6,6,6,6,6,6,6
450,5,5,5,5,5,5,5,5
451,103,103,103,103,103,103,103,103
452,1,1,1,1,1,1,1,1
454,129,129,129,129,129,129,129,129
458,156,156,156,156,156,156,156,156
460,130,130,130,130,130,130,130,130
461,90,90,90,90,90,90,90,90
463,10,10,10,10,10,10,10,10
