PCT,TYPE PTY,VRC,NAME,ADDRESS,DOB        VOTED,MAILED,RCV'D,STYLE
101,3,3,3,3,3,3,3,3
102,1,1,1,1,1,1,1,1
103,4,4,4,4,4,4,4,4
108,2,2,2,2,2,2,2,2
111,2,2,2,2,2,2,2,2
113,1,1,1,1,1,1,1,1
123,5,5,5,5,5,5,5,5
124,7,7,7,7,7,7,7,7
126,6,6,6,6,6,6,6,6
129,1,1,1,1,1,1,1,1
130,3,3,3,3,3,3,3,3
132,2,2,2,2,2,2,2,2
133,4,4,4,4,4,4,4,4
135,13,13,13,13,13,13,13,13
137,7,7,7,7,7,7,7,7
140,1,1,1,1,1,1,1,1
141,1,1,1,1,1,1,1,1
142,1,1,1,1,1,1,1,1
146,1,1,1,1,1,1,1,1
148,1,1,1,1,1,1,1,1
149,1,1,1,1,1,1,1,1
150,1,1,1,1,1,1,1,1
151,4,4,4,4,4,4,4,4
152,7,7,7,7,7,7,7,7
153,3,3,3,3,3,3,3,3
156,9,9,9,9,9,9,9,9
161,2,2,2,2,2,2,2,2
200,4,4,4,4,4,4,4,4
202,6,6,6,6,6,6,6,6
205,1,1,1,1,1,1,1,1
206,3,3,3,3,3,3,3,3
207,5,5,5,5,5,5,5,5
210,3,3,3,3,3,3,3,3
211,4,4,4,4,4,4,4,4
212,5,5,5,5,5,5,5,5
214,4,4,4,4,4,4,4,4
217,2,2,2,2,2,2,2,2
218,4,4,4,4,4,4,4,4
220,2,2,2,2,2,2,2,2
225,8,8,8,8,8,8,8,8
228,2,2,2,2,2,2,2,2
229,3,3,3,3,3,3,3,3
231,1,1,1,1,1,1,1,1
232,2,2,2,2,2,2,2,2
233,6,6,6,6,6,6,6,6
234,2,2,2,2,2,2,2,2
235,3,3,3,3,3,3,3,3
236,5,5,5,5,5,5,5,5
237,3,3,3,3,3,3,3,3
238,1,1,1,1,1,1,1,1
239,3,3,3,3,3,3,3,3
241,2,2,2,2,2,2,2,2
242,6,6,6,6,6,6,6,6
244,3,3,3,3,3,3,3,3
246,1,1,1,1,1,1,1,1
247,2,2,2,2,2,2,2,2
248,1,1,1,1,1,1,1,1
249,1,1,1,1,1,1,1,1
250,12,12,12,12,12,12,12,12
251,8,8,8,8,8,8,8,8
253,7,7,7,7,7,7,7,7
254,2,2,2,2,2,2,2,2
256,1,1,1,1,1,1,1,1
258,5,5,5,5,5,5,5,5
260,2,2,2,2,2,2,2,2
262,6,6,6,6,6,6,6,6
263,1,1,1,1,1,1,1,1
273,1,1,1,1,1,1,1,1
274,6,6,6,6,6,6,6,6
275,5,5,5,5,5,5,5,5
277,4,4,4,4,4,4,4,4
301,1,1,1,1,1,1,1,1
302,2,2,2,2,2,2,2,2
303,2,2,2,2,2,2,2,2
304,3,3,3,3,3,3,3,3
306,5,5,5,5,5,5,5,5
310,3,3,3,3,3,3,3,3
311,3,3,3,3,3,3,3,3
312,2,2,2,2,2,2,2,2
315,1,1,1,1,1,1,1,1
316,3,3,3,3,3,3,3,3
317,3,3,3,3,3,3,3,3
320,2,2,2,2,2,2,2,2
323,2,2,2,2,2,2,2,2
324,3,3,3,3,3,3,3,3
325,1,1,1,1,1,1,1,1
326,3,3,3,3,3,3,3,3
327,5,5,5,5,5,5,5,5
328,2,2,2,2,2,2,2,2
329,14,14,14,14,14,14,14,14
330,4,4,4,4,4,4,4,4
331,5,5,5,5,5,5,5,5
332,2,2,2,2,2,2,2,2
333,4,4,4,4,4,4,4,4
334,2,2,2,2,2,2,2,2
335,7,7,7,7,7,7,7,7
336,2,2,2,2,2,2,2,2
337,2,2,2,2,2,2,2,2
338,1,1,1,1,1,1,1,1
340,3,3,3,3,3,3,3,3
342,8,8,8,8,8,8,8,8
343,1,1,1,1,1,1,1,1
344,3,3,3,3,3,3,3,3
346,3,3,3,3,3,3,3,3
347,1,1,1,1,1,1,1,1
350,4,4,4,4,4,4,4,4
354,3,3,3,3,3,3,3,3
356,1,1,1,1,1,1,1,1
357,1,1,1,1,1,1,1,1
358,3,3,3,3,3,3,3,3
359,3,3,3,3,3,3,3,3
360,4,4,4,4,4,4,4,4
362,2,2,2,2,2,2,2,2
364,5,5,5,5,5,5,5,5
365,3,3,3,3,3,3,3,3
366,2,2,2,2,2,2,2,2
367,2,2,2,2,2,2,2,2
368,1,1,1,1,1,1,1,1
369,2,2,2,2,2,2,2,2
371,2,2,2,2,2,2,2,2
372,1,1,1,1,1,1,1,1
403,1,1,1,1,1,1,1,1
404,1,1,1,1,1,1,1,1
406,3,3,3,3,3,3,3,3
407,2,2,2,2,2,2,2,2
408,4,4,4,4,4,4,4,4
409,1,1,1,1,1,1,1,1
410,3,3,3,3,3,3,3,3
420,2,2,2,2,2,2,2,2
421,3,3,3,3,3,3,3,3
422,4,4,4,4,4,4,4,4
424,2,2,2,2,2,2,2,2
428,2,2,2,2,2,2,2,2
429,2,2,2,2,2,2,2,2
433,2,2,2,2,2,2,2,2
435,3,3,3,3,3,3,3,3
437,3,3,3,3,3,3,3,3
438,1,1,1,1,1,1,1,1
439,3,3,3,3,3,3,3,3
440,1,1,1,1,1,1,1,1
441,6,6,6,6,6,6,6,6
442,1,1,1,1,1,1,1,1
443,1,1,1,1,1,1,1,1
447,1,1,1,1,1,1,1,1
448,5,5,5,5,5,5,5,5
451,1,1,1,1,1,1,1,1
454,2,2,2,2,2,2,2,2
458,1,1,1,1,1,1,1,1
460,3,3,3,3,3,3,3,3
461,3,3,3,3,3,3,3,3
463,1,1,1,1,1,1,1,1
