PCT,TYPE PTY,VRC,NAME,,,ADDRESS,DOB,VOTED,MAILED,RCV'D,STYLE
323,39,39,39,5,2,39,39,39,0,0,39
324,200,200,200,31,13,200,200,200,0,0,200
325,1,1,1,0,0,1,1,1,0,0,1
326,89,89,89,12,3,89,89,89,0,0,89
327,70,70,70,8,4,70,70,70,0,0,70
328,84,84,84,16,4,84,84,84,0,0,84
329,81,81,81,10,4,81,81,81,0,0,81
330,77,77,77,7,2,77,77,77,0,0,77
331,83,83,83,11,5,83,83,83,0,0,83
332,50,50,50,6,3,50,50,50,0,0,50
333,88,88,88,12,4,88,88,88,0,0,88
334,98,98,98,15,8,98,98,98,0,0,98
335,64,64,64,15,5,64,64,64,0,0,64
336,54,54,54,9,3,54,54,54,0,0,54
337,96,96,96,13,4,96,96,96,0,0,96
338,105,105,105,19,3,105,105,105,0,0,105
339,44,44,44,4,1,44,44,44,0,0,44
340,43,43,43,2,1,43,43,43,0,0,43
341,8,8,8,1,0,8,8,8,0,0,8
342,110,110,110,24,7,110,110,110,0,0,110
343,52,52,52,8,2,52,52,52,0,0,52
344,26,26,26,4,1,26,26,26,0,0,26
346,171,171,171,23,12,171,171,171,0,0,171
347,72,72,72,13,2,72,72,72,0,0,72
349,94,94,94,10,4,94,94,94,0,0,94
350,105,105,105,24,7,105,105,105,0,0,105
351,27,27,27,7,3,27,27,27,0,0,27
352,61,61,61,14,5,61,61,61,0,0,61
354,105,105,105,14,4,105,105,105,0,0,105
356,31,31,31,3,0,31,31,31,0,0,31
357,27,27,27,5,2,27,27,27,0,0,27
358,83,83,83,17,3,83,83,83,0,0,83
359,96,96,96,15,8,96,96,96,0,0,96
360,107,107,107,17,7,107,107,107,0,0,107
361,29,29,29,3,0,29,29,29,0,0,29
362,75,75,75,4,1,75,75,75,0,0,75
363,35,35,35,3,1,35,35,35,0,0,35
364,95,95,95,13,2,95,95,95,0,0,95
365,49,49,49,4,0,49,49,49,0,0,49
366,118,118,118,15,9,118,118,118,0,0,118
367,203,203,203,32,14,203,203,203,0,0,203
368,14,14,14,1,1,14,14,14,0,0,14
369,74,74,74,6,1,74,74,74,0,0,74
370,21,21,21,3,1,21,21,21,0,0,21
371,55,55,55,8,3,55,55,55,0,0,55
372,23,23,23,4,0,23,23,23,0,0,23
373,83,83,83,9,4,83,83,83,0,0,83
374,119,119,119,18,7,119,119,119,0,0,119
375,15,15,15,3,0,15,15,15,0,0,15
401,27,27,27,4,2,27,27,27,0,0,27
402,53,53,53,10,6,53,53,53,0,0,53
403,16,16,16,2,2,16,16,16,0,0,16
404,98,98,98,21,9,98,98,98,0,0,98
405,34,34,34,9,5,34,34,34,0,0,34
406,57,57,57,6,3,57,57,57,0,0,57
407,79,79,79,12,4,79,79,79,0,0,79
408,80,80,80,15,7,80,80,80,0,0,80
409,42,42,42,8,1,42,42,42,0,0,42
410,49,49,49,10,4,49,49,49,0,0,49
411,45,45,45,5,1,45,45,45,0,0,45
413,48,48,48,6,3,48,48,48,0,0,48
414,102,102,102,21,8,102,102,102,0,0,102
