PCT,TYPE PTY,VRC,NAME,ADDRESS,DOB,VOTED,MAILED,RCV'D,STYLE
101,434,434,434,434,434,434,0,0,434
102,67,67,67,67,67,67,0,0,67
103,81,81,81,81,81,81,0,0,81
104,52,52,52,52,52,52,0,0,52
105,609,609,609,609,609,609,0,0,609
106,163,163,163,163,163,163,0,0,163
107,11,11,11,11,11,11,0,0,11
108,103,103,103,103,103,103,0,0,103
109,131,131,131,131,131,131,0,0,131
110,299,299,299,299,299,299,0,0,299
111,209,209,209,209,209,209,0,0,209
112,79,79,79,79,79,79,0,0,79
113,324,324,324,324,324,324,0,0,324
114,15,15,15,15,15,15,0,0,15
117,194,194,194,194,194,194,0,0,194
118,31,31,31,31,31,31,0,0,31
120,17,17,17,17,17,17,0,0,17
121,80,80,80,80,80,80,0,0,80
122,195,195,195,195,195,195,0,0,195
123,388,388,388,388,388,388,0,0,388
124,410,410,410,410,410,410,0,0,410
126,403,403,403,403,403,403,0,0,403
129,237,237,237,237,237,237,0,0,237
130,159,159,159,159,159,159,0,0,159
132,194,194,194,194,194,194,0,0,194
133,149,149,149,149,149,149,0,0,149
135,594,594,594,594,594,594,0,0,594
136,158,158,158,158,158,158,0,0,158
137,532,532,532,532,532,532,0,0,532
139,196,196,196,196,196,196,0,0,196
140,127,127,127,127,127,127,0,0,127
141,34,34,34,34,34,34,0,0,34
142,75,75,75,75,75,75,0,0,75
145,106,106,106,106,106,106,0,0,106
146,120,120,120,120,120,120,0,0,120
148,193,193,193,193,193,193,0,0,193
149,134,134,134,134,134,134,0,0,134
150,82,82,82,82,82,82,0,0,82
151,218,218,218,218,218,218,0,0,218
152,261,261,261,261,261,261,0,0,261
153,318,318,318,318,318,318,0,0,318
154,262,262,262,262,262,262,0,0,262
156,426,426,426,426,426,426,0,0,426
160,82,82,82,82,82,82,0,0,82
161,93,93,93,93,93,93,0,0,93
163,5,5,5,5,5,5,0,0,5
164,79,79,79,79,79,79,0,0,79
200,342,342,342,342,342,342,0,0,342
202,249,249,249,249,249,249,0,0,249
203,70,70,70,70,70,70,0,0,70
205,141,141,141,141,141,141,0,0,141
206,91,91,91,91,91,91,0,0,91
207,274,274,274,274,274,274,0,0,274
208,178,178,178,178,178,178,0,0,178
209,47,47,47,47,47,47,0,0,47
210,86,86,86,86,86,86,0,0,86
211,88,88,88,88,88,88,0,0,88
212,183,183,183,183,183,183,0,0,183
214,126,126,126,126,126,126,0,0,126
215,82,82,82,82,82,82,0,0,82
216,85,85,85,85,85,85,0,0,85
217,119,119,119,119,119,119,0,0,119
218,349,349,349,349,349,349,0,0,349
219,118,118,118,118,118,118,0,0,118
220,88,88,88,88,88,88,0,0,88
221,49,49,49,49,49,49,0,0,49
222,121,121,121,121,121,121,0,0,121
223,32,32,32,32,32,32,0,0,32
224,6,6,6,6,6,6,0,0,6
225,221,221,221,221,221,221,0,0,221
226,150,150,150,150,150,150,0,0,150
227,40,40,40,40,40,40,0,0,40
228,107,107,107,107,107,107,0,0,107
229,107,107,107,107,107,107,0,0,107
231,120,120,120,120,120,120,0,0,120
232,264,264,264,264,264,264,0,0,264
233,183,183,183,183,183,183,0,0,183
234,98,98,98,98,98,98,0,0,98
235,175,175,175,175,175,175,0,0,175
236,161,161,161,161,161,161,0,0,161
237,95,95,95,95,95,95,0,0,95
238,131,131,131,131,131,131,0,0,131
239,155,155,155,155,155,155,0,0,155
240,46,46,46,46,46,46,0,0,46
241,112,112,112,112,112,112,0,0,112
242,357,357,357,357,357,357,0,0,357
243,92,92,92,92,92,92,0,0,92
244,154,154,154,154,154,154,0,0,154
245,56,56,56,56,56,56,0,0,56
246,107,107,107,107,107,107,0,0,107
247,37,37,37,37,37,37,0,0,37
248,133,133,133,133,133,133,0,0,133
249,170,170,170,170,170,170,0,0,170
250,375,375,375,375,375,375,0,0,375
251,146,146,146,146,146,146,0,0,146
252,147,147,147,147,147,147,0,0,147
253,112,112,112,112,112,112,0,0,112
254,184,184,184,184,184,184,0,0,184
256,108,108,108,108,108,108,0,0,108
258,168,168,168,168,168,168,0,0,168
259,152,152,152,152,152,152,0,0,152
260,74,74,74,74,74,74,0,0,74
262,226,226,226,226,226,226,0,0,226
263,148,148,148,148,148,148,0,0,148
266,29,29,29,29,29,29,0,0,29
267,88,88,88,88,88,88,0,0,88
268,77,77,77,77,77,77,0,0,77
273,155,155,155,155,155,155,0,0,155
274,158,158,158,158,158,158,0,0,158
275,227,227,227,227,227,227,0,0,227
277,316,316,316,316,316,316,0,0,316
301,60,60,60,60,60,60,0,0,60
302,129,129,129,129,129,129,0,0,129
303,104,104,104,104,104,104,0,0,104
304,147,147,147,147,147,147,0,0,147
306,165,165,165,165,165,165,0,0,165
307,68,68,68,68,68,68,0,0,68
308,236,236,236,236,236,236,0,0,236
309,149,149,149,149,149,149,0,0,149
310,313,313,313,313,313,313,0,0,313
311,286,286,286,286,286,286,0,0,286
312,68,68,68,68,68,68,0,0,68
313,14,14,14,14,14,14,0,0,14
314,212,212,212,212,212,212,0,0,212
315,190,190,190,190,190,190,0,0,190
316,162,162,162,162,162,162,0,0,162
317,108,108,108,108,108,108,0,0,108
318,35,35,35,35,35,35,0,0,35
319,114,114,114,114,114,114,0,0,114
320,90,90,90,90,90,90,0,0,90
321,25,25,25,25,25,25,0,0,25
323,125,125,125,125,125,125,0,0,125
324,200,200,200,200,200,200,0,0,200
325,10,10,10,10,10,10,0,0,10
326,99,99,99,99,99,99,0,0,99
327,154,154,154,154,154,154,0,0,154
328,180,180,180,180,180,180,0,0,180
329,338,338,338,338,338,338,0,0,338
330,84,84,84,84,84,84,0,0,84
331,121,121,121,121,121,121,0,0,121
332,145,145,145,145,145,145,0,0,145
333,148,148,148,148,148,148,0,0,148
334,152,152,152,152,152,152,0,0,152
335,112,112,112,112,112,112,0,0,112
336,88,88,88,88,88,88,0,0,88
337,188,188,188,188,188,188,0,0,188
338,196,196,196,196,196,196,0,0,196
339,77,77,77,77,77,77,0,0,77
340,201,201,201,201,201,201,0,0,201
341,21,21,21,21,21,21,0,0,21
342,236,236,236,236,236,236,0,0,236
343,134,134,134,134,134,134,0,0,134
344,81,81,81,81,81,81,0,0,81
346,217,217,217,217,217,217,0,0,217
347,134,134,134,134,134,134,0,0,134
349,235,235,235,235,235,235,0,0,235
350,195,195,195,195,195,195,0,0,195
351,82,82,82,82,82,82,0,0,82
352,147,147,147,147,147,147,0,0,147
354,166,166,166,166,166,166,0,0,166
356,78,78,78,78,78,78,0,0,78
357,19,19,19,19,19,19,0,0,19
358,236,236,236,236,236,236,0,0,236
359,212,212,212,212,212,212,0,0,212
360,188,188,188,188,188,188,0,0,188
361,38,38,38,38,38,38,0,0,38
362,131,131,131,131,131,131,0,0,131
363,62,62,62,62,62,62,0,0,62
364,223,223,223,223,223,223,0,0,223
365,92,92,92,92,92,92,0,0,92
366,214,214,214,214,214,214,0,0,214
367,214,214,214,214,214,214,0,0,214
368,14,14,14,14,14,14,0,0,14
369,406,406,406,406,406,406,0,0,406
370,57,57,57,57,57,57,0,0,57
371,199,199,199,199,199,199,0,0,199
372,122,122,122,122,122,122,0,0,122
373,406,406,406,406,406,406,0,0,406
374,298,298,298,298,298,298,0,0,298
375,28,28,28,28,28,28,0,0,28
401,158,158,158,158,158,158,0,0,158
402,187,187,187,187,187,187,0,0,187
403,19,19,19,19,19,19,0,0,19
404,266,266,266,266,266,266,0,0,266
405,109,109,109,109,109,109,0,0,109
406,157,157,157,157,157,157,0,0,157
407,182,182,182,182,182,182,0,0,182
408,130,130,130,130,130,130,0,0,130
409,124,124,124,124,124,124,0,0,124
410,181,181,181,181,181,181,0,0,181
411,115,115,115,115,115,115,0,0,115
412,3,3,3,3,3,3,0,0,3
413,94,94,94,94,94,94,0,0,94
414,203,203,203,203,203,203,0,0,203
415,56,56,56,56,56,56,0,0,56
416,26,26,26,26,26,26,0,0,26
417,118,118,118,118,118,118,0,0,118
419,22,22,22,22,22,22,0,0,22
420,161,161,161,161,161,161,0,0,161
421,164,164,164,164,164,164,0,0,164
422,137,137,137,137,137,137,0,0,137
423,226,226,226,226,226,226,0,0,226
424,113,113,113,113,113,113,0,0,113
425,36,36,36,36,36,36,0,0,36
426,218,218,218,218,218,218,0,0,218
427,191,191,191,191,191,191,0,0,191
428,90,90,90,90,90,90,0,0,90
429,332,332,332,332,332,332,0,0,332
430,65,65,65,65,65,65,0,0,65
