PCT,TYPE PTY,VRC,NAME,ADDRESS,DOB        VOTED,MAILED,RCV'D,STYLE
371,2,2,2,2,2,2,2,2
372,3,3,3,3,3,3,3,3
373,15,15,15,15,15,15,15,15
374,7,7,7,7,7,7,7,7
401,2,2,2,2,2,2,2,2
402,3,3,3,3,3,3,3,3
404,7,7,7,7,7,7,7,7
405,4,4,4,4,4,4,4,4
406,7,7,7,7,7,7,7,7
407,6,6,6,6,6,6,6,6
408,4,4,4,4,4,4,4,4
409,9,9,9,9,9,9,9,9
410,19,19,19,19,19,19,19,19
411,37,37,37,37,37,37,37,37
413,6,6,6,6,6,6,6,6
414,34,34,34,34,34,34,34,34
415,24,24,24,24,24,24,24,24
417,4,4,4,4,4,4,4,4
419,6,6,6,6,6,6,6,6
420,22,22,22,22,22,22,22,22
421,28,28,28,28,28,28,28,28
422,30,30,30,30,30,30,30,30
423,16,16,16,16,16,16,16,16
424,17,17,17,17,17,17,17,17
426,7,7,7,7,7,7,7,7
427,11,11,11,11,11,11,11,11
428,12,12,12,12,12,12,12,12
429,10,10,10,10,10,10,10,10
430,8,8,8,8,8,8,8,8
431,9,9,9,9,9,9,9,9
433,3,3,3,3,3,3,3,3
435,5,5,5,5,5,5,5,5
437,15,15,15,15,15,15,15,15
438,4,4,4,4,4,4,4,4
439,8,8,8,8,8,8,8,8
440,10,10,10,10,10,10,10,10
441,8,8,8,8,8,8,8,8
442,3,3,3,3,3,3,3,3
443,2,2,2,2,2,2,2,2
446,3,3,3,3,3,3,3,3
447,5,5,5,5,5,5,5,5
448,5,5,5,5,5,5,5,5
450,4,4,4,4,4,4,4,4
451,6,6,6,6,6,6,6,6
452,1,1,1,1,1,1,1,1
454,7,7,7,7,7,7,7,7
458,7,7,7,7,7,7,7,7
460,8,8,8,8,8,8,8,8
461,11,11,11,11,11,11,11,11
463,2,2,2,2,2,2,2,2
