PCT,TYPE PTY,VRC,NAME,ADDRESS,DOB        VOTED,MAILED,RCV'D,STYLE
101,8,8,8,8,8,8,8,8
104,2,2,2,2,2,2,2,2
105,4,4,4,4,4,4,4,4
106,2,2,2,2,2,2,2,2
111,2,2,2,2,2,2,2,2
117,1,1,1,1,1,1,1,1
126,2,2,2,2,2,2,2,2
129,2,2,2,2,2,2,2,2
130,3,3,3,3,3,3,3,3
132,2,2,2,2,2,2,2,2
133,4,4,4,4,4,4,4,4
135,7,7,7,7,7,7,7,7
140,4,4,4,4,4,4,4,4
141,1,1,1,1,1,1,1,1
142,1,1,1,1,1,1,1,1
149,2,2,2,2,2,2,2,2
151,5,5,5,5,5,5,5,5
152,2,2,2,2,2,2,2,2
153,1,1,1,1,1,1,1,1
154,2,2,2,2,2,2,2,2
156,5,5,5,5,5,5,5,5
200,6,6,6,6,6,6,6,6
202,2,2,2,2,2,2,2,2
205,1,1,1,1,1,1,1,1
206,3,3,3,3,3,3,3,3
207,2,2,2,2,2,2,2,2
208,1,1,1,1,1,1,1,1
210,3,3,3,3,3,3,3,3
212,1,1,1,1,1,1,1,1
214,6,6,6,6,6,6,6,6
217,2,2,2,2,2,2,2,2
218,2,2,2,2,2,2,2,2
220,2,2,2,2,2,2,2,2
223,1,1,1,1,1,1,1,1
225,1,1,1,1,1,1,1,1
228,1,1,1,1,1,1,1,1
231,5,5,5,5,5,5,5,5
232,2,2,2,2,2,2,2,2
233,4,4,4,4,4,4,4,4
234,2,2,2,2,2,2,2,2
235,3,3,3,3,3,3,3,3
236,2,2,2,2,2,2,2,2
237,4,4,4,4,4,4,4,4
238,6,6,6,6,6,6,6,6
239,6,6,6,6,6,6,6,6
240,4,4,4,4,4,4,4,4
241,5,5,5,5,5,5,5,5
242,2,2,2,2,2,2,2,2
243,3,3,3,3,3,3,3,3
244,4,4,4,4,4,4,4,4
245,1,1,1,1,1,1,1,1
246,2,2,2,2,2,2,2,2
247,4,4,4,4,4,4,4,4
248,1,1,1,1,1,1,1,1
249,4,4,4,4,4,4,4,4
250,4,4,4,4,4,4,4,4
251,2,2,2,2,2,2,2,2
253,4,4,4,4,4,4,4,4
254,2,2,2,2,2,2,2,2
256,2,2,2,2,2,2,2,2
259,1,1,1,1,1,1,1,1
260,1,1,1,1,1,1,1,1
262,10,10,10,10,10,10,10,10
266,3,3,3,3,3,3,3,3
267,2,2,2,2,2,2,2,2
273,5,5,5,5,5,5,5,5
274,1,1,1,1,1,1,1,1
302,3,3,3,3,3,3,3,3
303,3,3,3,3,3,3,3,3
304,2,2,2,2,2,2,2,2
306,8,8,8,8,8,8,8,8
308,3,3,3,3,3,3,3,3
310,4,4,4,4,4,4,4,4
312,1,1,1,1,1,1,1,1
314,3,3,3,3,3,3,3,3
315,2,2,2,2,2,2,2,2
316,2,2,2,2,2,2,2,2
319,4,4,4,4,4,4,4,4
321,2,2,2,2,2,2,2,2
323,2,2,2,2,2,2,2,2
326,5,5,5,5,5,5,5,5
327,7,7,7,7,7,7,7,7
328,1,1,1,1,1,1,1,1
329,4,4,4,4,4,4,4,4
330,2,2,2,2,2,2,2,2
331,4,4,4,4,4,4,4,4
334,1,1,1,1,1,1,1,1
335,1,1,1,1,1,1,1,1
336,3,3,3,3,3,3,3,3
337,5,5,5,5,5,5,5,5
338,1,1,1,1,1,1,1,1
342,1,1,1,1,1,1,1,1
349,2,2,2,2,2,2,2,2
350,9,9,9,9,9,9,9,9
352,2,2,2,2,2,2,2,2
354,1,1,1,1,1,1,1,1
358,2,2,2,2,2,2,2,2
359,2,2,2,2,2,2,2,2
360,5,5,5,5,5,5,5,5
361,1,1,1,1,1,1,1,1
362,1,1,1,1,1,1,1,1
364,7,7,7,7,7,7,7,7
365,7,7,7,7,7,7,7,7
366,4,4,4,4,4,4,4,4
367,10,10,10,10,10,10,10,10
369,8,8,8,8,8,8,8,8
371,3,3,3,3,3,3,3,3
373,3,3,3,3,3,3,3,3
374,3,3,3,3,3,3,3,3
401,1,1,1,1,1,1,1,1
402,1,1,1,1,1,1,1,1
404,4,4,4,4,4,4,4,4
406,2,2,2,2,2,2,2,2
411,1,1,1,1,1,1,1,1
413,2,2,2,2,2,2,2,2
414,1,1,1,1,1,1,1,1
415,2,2,2,2,2,2,2,2
417,1,1,1,1,1,1,1,1
420,1,1,1,1,1,1,1,1
421,1,1,1,1,1,1,1,1
423,3,3,3,3,3,3,3,3
424,1,1,1,1,1,1,1,1
426,1,1,1,1,1,1,1,1
427,3,3,3,3,3,3,3,3
429,3,3,3,3,3,3,3,3
433,2,2,2,2,2,2,2,2
435,3,3,3,3,3,3,3,3
439,6,6,6,6,6,6,6,6
440,1,1,1,1,1,1,1,1
441,3,3,3,3,3,3,3,3
443,2,2,2,2,2,2,2,2
444,1,1,1,1,1,1,1,1
448,7,7,7,7,7,7,7,7
450,4,4,4,4,4,4,4,4
452,1,1,1,1,1,1,1,1
463,1,1,1,1,1,1,1,1
